,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
264,399656,100绩效,6545.07080078125,100.0,2.0,,指数板块,指数,0,0,1JX
265,399657,300绩效,6667.8623046875,100.0,2.0,,指数板块,指数,0,0,3JX
266,399658,中小绩效,4335.9091796875,100.0,2.0,,指数板块,指数,0,0,ZXJX
267,399659,深成指EW,4033.396484375,100.0,2.0,,指数板块,指数,0,0,SCZE
268,399660,中创EW,2518.251220703125,100.0,2.0,,指数板块,指数,0,0,ZCE
269,399661,深证低波,5213.32666015625,100.0,2.0,,指数板块,指数,0,0,SZDB
270,399662,深证高贝,2047.06298828125,100.0,2.0,,指数板块,指数,0,0,SZGB
271,399663,中小低波,1728.53369140625,100.0,2.0,,指数板块,指数,0,0,ZXDB
272,399664,中小高贝,1259.1531982421875,100.0,2.0,,指数板块,指数,0,0,ZXGB
273,399665,中创低波,1894.1136474609375,100.0,2.0,,指数板块,指数,0,0,ZCDB
274,399666,中创高贝,1634.53515625,100.0,2.0,,指数板块,指数,0,0,ZCGB
275,399667,创业板G,3927.832275390625,100.0,2.0,,指数板块,指数,0,0,CYBG
276,399668,创业板V,3330.54541015625,100.0,2.0,,指数板块,指数,0,0,CYBV
277,399669,深证农业,11365.7412109375,100.0,2.0,,指数板块,指数,0,0,SZNY
278,399670,深周期50,3856.08349609375,100.0,2.0,,指数板块,指数,0,0,SZQ5
279,399671,深防御50,8718.4072265625,100.0,2.0,,指数板块,指数,0,0,SFY5
280,399672,深红利50,4147.06201171875,100.0,2.0,,指数板块,指数,0,0,SHL5
281,399673,创业板50,2540.991455078125,100.0,2.0,,指数板块,指数,0,0,CYB5
282,399674,深A医药,2526.58740234375,100.0,2.0,,指数板块,指数,0,0,SAYY
283,399675,深互联网,2832.630615234375,100.0,2.0,,指数板块,指数,0,0,SHLW
284,399676,深医药EW,3680.22021484375,100.0,2.0,,指数板块,指数,0,0,SYYE
285,399677,深互联EW,3988.41796875,100.0,2.0,,指数板块,指数,0,0,SHLE
286,399678,深次新股,727.0029296875,100.0,2.0,,指数板块,指数,0,0,SCXG
287,399679,深证200R,4964.96875,100.0,2.0,,指数板块,指数,0,0,SZ2
288,399680,深成能源,804.8471069335938,100.0,2.0,,指数板块,指数,0,0,SCNY
289,399681,深成材料,1220.6270751953125,100.0,2.0,,指数板块,指数,0,0,SCCL
290,399682,深成工业,1748.6717529296875,100.0,2.0,,指数板块,指数,0,0,SCGY
291,399683,深成可选,1584.622314453125,100.0,2.0,,指数板块,指数,0,0,SCKX
292,399684,深成消费,2925.3271484375,100.0,2.0,,指数板块,指数,0,0,SCXF
293,399685,深成医药,2463.427490234375,100.0,2.0,,指数板块,指数,0,0,SCYY
294,399686,深成金融,1878.6090087890625,100.0,2.0,,指数板块,指数,0,0,SCJR
295,399687,深成信息,2699.00439453125,100.0,2.0,,指数板块,指数,0,0,SCXX
