code,tradeStatus,code_name,code2,market2,market,type,kind,type2
603056,1,德邦股份,sh.603056,sh,1,证券,A股股票,1
603057,1,,sh.603057,sh,1,证券,A股股票,1
603058,1,永吉股份,sh.603058,sh,1,证券,A股股票,1
603059,1,倍加洁,sh.603059,sh,1,证券,A股股票,1
603060,1,国检集团,sh.603060,sh,1,证券,A股股票,1
603063,1,禾望电气,sh.603063,sh,1,证券,A股股票,1
603066,1,音飞储存,sh.603066,sh,1,证券,A股股票,1
603067,1,振华股份,sh.603067,sh,1,证券,A股股票,1
603068,1,博通集成,sh.603068,sh,1,证券,A股股票,1
603069,1,海汽集团,sh.603069,sh,1,证券,A股股票,1
603070,1,万控智造,sh.603070,sh,1,证券,A股股票,1
603071,1,物产环能,sh.603071,sh,1,证券,A股股票,1
603076,1,乐惠国际,sh.603076,sh,1,证券,A股股票,1
603077,1,和邦生物,sh.603077,sh,1,证券,A股股票,1
603078,1,江化微,sh.603078,sh,1,证券,A股股票,1
603079,1,圣达生物,sh.603079,sh,1,证券,A股股票,1
603080,1,新疆火炬,sh.603080,sh,1,证券,A股股票,1
603081,1,大丰实业,sh.603081,sh,1,证券,A股股票,1
603083,1,剑桥科技,sh.603083,sh,1,证券,A股股票,1
603085,1,天成自控,sh.603085,sh,1,证券,A股股票,1
603086,1,先达股份,sh.603086,sh,1,证券,A股股票,1
603087,1,甘李药业,sh.603087,sh,1,证券,A股股票,1
603088,1,宁波精达,sh.603088,sh,1,证券,A股股票,1
603089,1,正裕工业,sh.603089,sh,1,证券,A股股票,1
603090,1,宏盛股份,sh.603090,sh,1,证券,A股股票,1
603093,1,南华期货,sh.603093,sh,1,证券,A股股票,1
603095,1,越剑智能,sh.603095,sh,1,证券,A股股票,1
603096,1,新经典,sh.603096,sh,1,证券,A股股票,1
603097,1,江苏华辰,sh.603097,sh,1,证券,A股股票,1
603098,1,森特股份,sh.603098,sh,1,证券,A股股票,1
603099,1,长白山,sh.603099,sh,1,证券,A股股票,1
603100,1,川仪股份,sh.603100,sh,1,证券,A股股票,1
603101,1,汇嘉时代,sh.603101,sh,1,证券,A股股票,1
603102,1,百合股份,sh.603102,sh,1,证券,A股股票,1
603103,1,横店影视,sh.603103,sh,1,证券,A股股票,1
603105,1,芯能科技,sh.603105,sh,1,证券,A股股票,1
603106,1,恒银科技,sh.603106,sh,1,证券,A股股票,1
603108,1,润达医疗,sh.603108,sh,1,证券,A股股票,1
603109,1,神驰机电,sh.603109,sh,1,证券,A股股票,1
603110,1,东方材料,sh.603110,sh,1,证券,A股股票,1
